Station_ID,Station_name,Line_Name
KJ1,Gombak,Kelana Jaya
KJ2,Taman Melati,Kelana Jaya
KJ3,Wangsa Maju,Kelana Jaya
KJ4,Sri Rampai,Kelana Jaya
KJ5,Setiawangsa,Kelana Jaya
KJ6,Jelatek,Kelana Jaya
KJ7,Dato' Keramat,Kelana Jaya
KJ8,Damai,Kelana Jaya
KJ9,Ampang Park,Kelana Jaya
KJ10,KLCC,Kelana Jaya
KJ11,Kampung Baru,Kelana Jaya
KJ12,Dang Wangi,Kelana Jaya
KJ13,Masjid Jamek,Kelana Jaya
KJ14,Pasar Seni,Kelana Jaya
KJ15,KL Sentral,Kelana Jaya
KJ16,Bangsar,Kelana Jaya
KJ17,Abdullah Hukum,Kelana Jaya
KJ18,Kerinchi,Kelana Jaya
KJ19,Universiti,Kelana Jaya
KJ20,Taman Jaya,Kelana Jaya
KJ21,Asia Jaya,Kelana Jaya
KJ22,Taman Paramount,Kelana Jaya
KJ23,Taman Bahagia,Kelana Jaya
KJ24,Kelana Jaya,Kelana Jaya
KJ25,Lembah Subang,Kelana Jaya
KJ26,Ara Damansara,Kelana Jaya
KJ27,Glenmarie,Kelana Jaya
KJ28,Subang Jaya,Kelana Jaya
KJ29,SS 15,Kelana Jaya
KJ30,SS 18,Kelana Jaya
KJ31,USJ 7,Kelana Jaya
KJ32,Taipan,Kelana Jaya
KJ33,Wawasan,Kelana Jaya
KJ34,USJ 21,Kelana Jaya
KJ35,Alam Megah,Kelana Jaya
KJ36,Subang Alam,Kelana Jaya
KJ37,Putra Heights,Kelana Jaya
KG4,Kwasa Damansara,Kajang
KG5,Kwasa Sentral,Kajang
KG5A,Teknologi,Kajang
KG6,Kota Damansara,Kajang
KG7,Surian,Kajang
KG8,Mutiara Damansara,Kajang
KG9,Bandar Utama,Kajang
KG10,TTDI,Kajang
KG12,Phileo Damansara,Kajang
KG12A,Bukit Kiara Selatan,Kajang
KG13,Pusat Bandar Damansara,Kajang
KG14,Semantan,Kajang
KG15,Muzium Negara,Kajang
KG16,Pasar Seni,Kajang
KG17,Merdeka,Kajang
KG18A,Bukit Bintang,Kajang
KG20,Tun Razak Exchange (TRX),Kajang
KG21,Cochrane,Kajang
KG22,Maluri,Kajang
KG23,Taman Pertama,Kajang
KG24,Taman Midah,Kajang
KG25,Taman Mutiara,Kajang
KG26,Taman Connaught,Kajang
KG27,Taman Suntex,Kajang
KG28,Sri Raya,Kajang
KG29,Bandar Tun Hussein Onn,Kajang
KG30,Batu 11 Cheras,Kajang
KG31,Bukit Dukung,Kajang
KG33,Sungai Jernih,Kajang
KG34,Stadium Kajang,Kajang
KG35,Kajang,Kajang
